id,MUNICÍPIO,LOCALIDADE,LONGITUDE,LATITUDE,CÓDIGO DO,TI,CODIBGE,POPULAÇÃ,DATA DA PE,AQUÍFERO,FINALIDADE,PROFUNDIDA,VAZÃO (m³),ESTADO,RESÍDUO T,CLORETO,DUREZA,NITRATO,FERRO,COR APAREN,FLUORETO,MANGANÊS,NITRATO (1,PH,SULFATO,TURBIDEZ,ESTADO QUA,DATA DA CO,DATA DA AN,POPULAÇ_1,CÓDIGO _1
408,Bom Jesus da Serra,ARARAS,-40.577221,-14.402222,20,Sudoeste Baiano,2903953,,04/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"90","20,84",VAZÃO APROVEITÁVEL,"628","148","228","0,09","<0,07",<5,"<0,0033",<Null>,"0,09","6,78","4,22","0,43",UTILIZÁVEL APÓS TRATAMENTO,18/04/2023,25/05/2023,,"-"
409,Iuiu,CAPOEIRA,-43.571666,-14.530554,13,Sertão Produtivo,2917334,,03/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","2,02",VAZÃO APROVEITÁVEL,"4991","218,4","271,46","13,55","0,09",<5,"<0,0033",<Null>,"13,55","7,27","77,23","0,57",UTILIZÁVEL APÓS TRATAMENTO,06/07/2023,16/08/2023,,"-"
410,Bom Jesus da Serra,BOM JESUS DE CIMA,-40.49611,-14.444721,20,Sudoeste Baiano,2903953,,03/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","2,99",VAZÃO APROVEITÁVEL,"946","325",<Null>,"1,46",<Null>,"9","0,4712",<Null>,"1,46","6,88","53,3",<Null>,UTILIZÁVEL APÓS TRATAMENTO,30/04/2023,16/05/2023,,"-"
411,Planalto,LAGOA NOVA,-40.454444,-14.659166,20,Sudoeste Baiano,2925006,,02/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"130","3,03",VAZÃO APROVEITÁVEL,"730","285","281","0,758","0,16","8","0,1931","0,21","0,758","6,79","3,44","0,49",UTILIZÁVEL APÓS TRATAMENTO,30/04/2023,16/06/2023,,"-"
412,Condeúba,SANTO ANTÔNIO,-41.970277,-14.868054,20,Sudoeste Baiano,2908705,,28/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"110","4,1",VAZÃO APROVEITÁVEL,"794","169","443","0,89","0,00547",<5,"0,11",<Null>,"0,89","7,44","28,6","1,6",UTILIZÁVEL APÓS TRATAMENTO,02/03/2023,28/04/2023,,"-"
413,Guanambi,LAGOA DO MOCÓ,-42.888888,-14.107222,13,Sertão Produtivo,2911709,,26/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"110","1,15",VAZÃO APROVEITÁVEL,"1968","814","993","13,9","0,0311","5","2,24","0,393","13,9","7,05","96,7","1,3",UTILIZÁVEL APÓS TRATAMENTO,30/03/2023,26/04/2023,,"-"
414,Palmas de Monte Alto,CURRAL NOVO (COMUNIDADE QUILOMBOLA),-43.450833,-13.924999,13,Sertão Produtivo,2923407,,23/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","17,21",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
415,Matina,BARRIGUDO DAS CANELAS,-42.894999,-13.858055,2,Velho Chico,2921054,,22/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","4,12",VAZÃO APROVEITÁVEL,"2620","1648","957,1","22,1","<0,08",<5,"0,09",<Null>,"22,1","7,01","338,9",<Null>,UTILIZÁVEL APÓS TRATAMENTO,08/07/2023,16/08/2023,,"-"
416,Matina,LAGOA DO EUGENIO,-42.8025,-13.78111,2,Velho Chico,2921054,,22/02/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","9,89",VAZÃO APROVEITÁVEL,"820","378,2","473,9","12,4","0,09","7","<0,0033",<Null>,"12,4","7,28","126",<Null>,UTILIZÁVEL APÓS TRATAMENTO,09/07/2023,16/08/2023,,"-"
417,Candeal,RANGEL,-39.117221,-11.912777,4,Sisal,2906402,,18/02/2023,FISSURAL,NÃO INFORMADO,"60","31,68",VAZÃO APROVEITÁVEL,"24900","2931,66","6270","0,875","9,21","965","<0,100","1,2","0,875","6,41","37,66","260",UTILIZÁVEL APÓS TRATAMENTO,08/08/2023,15/09/2023,,"-"
